Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2013-12-31,1807.78,34.99,100.2,233.049,2.9,1987.2187399431,38.463078311857,110.145768701,24.861869296462
2013-11-30,1783.54,34.793333333333,98.256666666667,233.069,2.72,1960.4044580146,38.243608652373,108.00027325599,24.642077092412
2013-10-31,1720.03,34.596666666667,96.313333333333,233.546,2.62,1886.7350990276,37.949771404777,105.64800992096,23.834737887631
2013-09-30,1687.17,34.4,94.37,234.149,2.81,1845.9242600331,37.636867977228,103.24974508753,23.442287167961
2013-08-31,1670.09,34.023333333333,93.23,233.877,2.74,1829.3622024077,37.268051422329,102.1211061263,23.356649094916
2013-07-31,1668.68,33.646666666667,92.09,233.596,2.58,1830.016473955,36.899797620678,100.99372982628,23.49246017716
2013-06-30,1618.77,33.27,90.95,233.504,2.3,1775.9803774775,36.501088578782,99.782807521499,22.925333173915
2013-05-31,1639.84,32.883333333333,89.866666666667,232.945,1.93,1803.4139432055,36.163443892335,98.830861362124,23.411841781842
2013-04-30,1570.7,32.496666666667,88.783333333333,232.531,1.76,1730.4526681389,35.801835830491,97.813303656287,22.595655396106
2013-03-31,1550.83,32.11,87.7,232.773,1.96,1706.7854430604,35.339063970048,96.519336972071,22.419207114603
2013-02-28,1512.31,31.823333333333,87.303333333333,232.166,1.98,1668.7433396255,35.115138790779,96.333989742253,22.052724336862
2013-01-31,1480.4,31.536666666667,86.906666666667,230.28,1.91,1646.9112493486,35.083822683255,96.681685339587,21.900475413822
2012-12-31,1422.29,31.25,86.51,229.601,1.72,1586.9444386675,34.867722973768,96.52501486274,21.238261139846
2012-11-30,1394.51,30.696666666667,86.506666666667,230.221,1.65,1551.7581581936,34.158093473228,96.261357565122,20.898162059574
2012-10-31,1437.82,30.143333333333,86.503333333333,231.317,1.75,1592.3711827276,33.383438365965,95.801571274485,21.577109654529
2012-09-30,1443.42,29.59,86.5,231.407,1.72,1597.9514011028,32.757881946095,95.760621437554,21.783690301728
2012-08-31,1403.45,29.166666666667,86.973333333333,230.379,1.68,1560.6351938002,32.433308265944,96.714271917145,21.410428453443
2012-07-31,1359.78,28.743333333333,87.446666666667,229.104,1.53,1520.4891233894,32.140438676322,97.78177759882,20.999341293381
2012-06-30,1323.48,28.32,87.92,229.478,1.62,1477.4869954854,31.61546204865,98.150827094536,20.547504086856
2012-05-31,1341.27,27.996666666667,88.126666666667,229.815,1.8,1495.151426963,31.208672464809,98.237276178665,20.941467419743
2012-04-30,1386.43,27.673333333333,88.333333333333,230.085,2.05,1543.6789466393,30.812043918552,98.35210357042,21.779246906825
2012-03-31,1389.24,27.35,88.54,229.392,2.17,1551.4806085217,30.544034611059,98.880030144905,22.053943972905
2012-02-29,1352.49,27.043333333333,88.01,227.663,1.97,1521.9099230551,30.430921746177,99.034589777434,21.797435963718
2012-01-31,1300.58,26.736666666667,87.48,226.665,1.97,1469.9411471776,30.218307579467,98.871620011912,21.213008091803
2011-12-31,1243.32,26.43,86.95,225.672,1.98,1411.4080246996,30.003148097682,98.705021834787,20.523575499432
2011-11-30,1226.42,26.013333333333,86.96,226.23,2.01,1388.7893233656,29.457314458737,98.472888211113,20.345246797646
2011-10-31,1207.22,25.596666666667,86.97,226.421,2.15,1365.8941910203,28.96103304243,98.401134667279,20.155824786689
2011-09-30,1173.88,25.18,86.98,226.889,1.98,1325.4324614679,28.43083567295,98.209455394488,19.698114568878
2011-08-31,1185.31,24.9,85.943333333333,226.545,2.3,1340.3703345362,28.15737767331,97.186301010837,20.04985272166
2011-07-31,1325.19,24.62,84.906666666667,225.922,3.0,1502.6815922641,27.917521865954,96.278786483831,22.610981701157
2011-06-30,1287.29,24.34,83.87,225.722,3.0,1460.9987564903,27.624474464164,95.18753793383,22.100831286611
2011-05-31,1338.31,24.036666666667,83.016666666667,225.964,3.17,1517.2767727935,27.250992691314,94.118149074631,23.059491506095
2011-04-30,1331.51,23.733333333333,82.163333333333,224.906,3.46,1516.6687246561,27.033671845126,93.588901307657,23.143929447286
2011-03-31,1304.49,23.43,81.31,223.467,3.41,1495.4596374968,26.860013726859,93.213304145578,22.899336430144
2011-02-28,1321.12,23.196666666667,79.99,221.309,3.58,1529.292405641,26.85182736581,92.594237864253,23.489828703299
2011-01-31,1282.62,22.963333333333,78.67,220.223,3.39,1492.0475830181,26.712811275389,91.515322820505,22.978299430555
2010-12-31,1241.53,22.73,77.35,219.179,3.29,1451.1276505162,26.567325393856,90.408386239101,22.396379773044
2010-11-30,1198.89,22.603333333333,75.52,218.803,2.76,1403.697110243,26.46467455885,88.421127681065,21.700723827761
2010-10-31,1171.58,22.476666666667,73.69,218.711,2.54,1372.2987361175,26.327439234881,86.31480041013,21.240127651759
2010-09-30,1122.08,22.35,71.86,218.439,2.65,1315.9548294947,26.211669791109,84.276089091234,20.381395233204
2010-08-31,1087.28,22.246666666667,70.273333333333,218.312,2.7,1275.8838245264,26.105660133204,82.463219497783,19.770299174359
2010-07-31,1079.8,22.143333333333,68.686666666667,218.011,3.01,1268.855763012,26.020277933224,80.712606818005,19.668660470718
2010-06-30,1083.36,22.04,67.1,217.965,3.2,1273.307728305,25.904318353864,78.864780469341,19.742039853739
2010-05-31,1125.06,21.993333333333,65.043333333333,218.178,3.42,1321.0281381487,25.82423353867,76.372881030626,20.480068638423
2010-04-30,1197.32,21.946666666667,62.986666666667,218.009,3.85,1406.9645484819,25.789414657193,74.015306707521,21.804845599625
2010-03-31,1152.05,21.9,60.93,217.631,3.73,1356.1193444983,25.779274896499,71.722886732589,21.004601209715
2010-02-28,1089.16,22.07,57.61,216.741,3.69,1287.3538935873,26.086066722494,68.093262523011,19.9205393066
2010-01-31,1123.58,22.24,54.29,216.687,3.73,1328.3682402498,26.293552451231,64.185115223802,20.527859801454
2009-12-31,1110.38,22.41,50.97,215.949,3.59,1317.2486854535,26.585081720684,60.46593553339,20.322376500217
2009-11-30,1088.07,22.906666666667,38.16,216.33,3.4,1288.5089108653,27.126420283826,45.189647760366,19.812761079966
2009-10-31,1067.66,23.403333333333,25.35,216.177,3.39,1265.2339211618,27.734195531902,30.041099134043,19.358008443487
2009-09-30,1044.55,23.9,12.54,215.969,3.4,1239.0395134834,28.350049659905,14.874879612352,18.83190226484
2009-08-31,1009.73,24.463333333333,10.863333333333,215.834,3.59,1198.4853802575,29.036422956995,12.894086717107,18.094069801576
2009-07-31,935.82,25.026666666667,9.1866666666667,215.351,3.56,1113.2501700712,29.771687849139,10.928445886019,16.694620816996
2009-06-30,926.12,25.59,7.51,215.693,3.72,1099.9642049116,30.393560233758,8.9197200998642,16.384182816215
2009-05-31,902.41,26.146666666667,7.2933333333333,213.856,3.29,1081.0102209548,31.32147683488,8.7367913455783,15.996355755263
2009-04-30,848.15,26.703333333333,7.0766666666667,213.24,2.93,1018.9463852349,32.080722718533,8.5017319100544,14.981866453039
2009-03-31,757.13,27.26,6.86,212.709,2.82,911.86790315642,32.831243036261,8.262007601935,13.323667656864
2009-02-28,805.23,27.636666666667,9.5333333333333,212.193,2.87,972.15661184629,33.365831165496,11.509622136451,14.122181801919
2009-01-31,865.58,28.013333333333,12.206666666667,211.143,2.52,1050.214150481,33.988769459561,14.810432384687,15.17465193688
2008-12-31,877.56,28.39,14.88,210.228,2.42,1069.3838011587,34.595704128375,18.13258462241,15.376080747424
2008-11-30,883.04,28.543333333333,25.236666666667,212.425,3.53,1064.9325220666,34.422816582323,30.435027951042,15.259659405705
2008-10-31,968.8,28.696666666667,35.593333333333,216.573,3.81,1145.9803161059,33.944895889608,42.102868894091,16.38735654879
2008-09-30,1216.95,28.85,45.95,218.783,3.69,1424.9725627105,33.781550954599,53.804584622663,20.362733946098
2008-08-31,1281.47,28.803333333333,47.756666666667,219.086,3.89,1498.4462103352,33.680262260026,55.8427401226,21.401617360048
2008-07-31,1257.33,28.756666666667,49.563333333333,219.964,4.01,1464.3503985311,33.491475025459,57.723976139277,20.907206462662
2008-06-30,1341.25,28.71,51.37,218.815,4.1,1570.2904351278,33.612703368142,60.142270011197,22.416812802282
2008-05-31,1403.22,28.573333333333,54.376666666667,216.632,3.88,1659.3977511402,33.789801368219,64.30389987398,23.696432116623
2008-04-30,1370.47,28.436666666667,57.383333333333,214.823,3.68,1634.3162402885,33.911363366585,68.430913182015,23.356040643202
2008-03-31,1316.94,28.3,60.39,213.528,3.51,1580.0051298893,33.953061776441,72.453194370293,22.606810842249
2008-02-29,1354.87,28.11,62.32,211.693,3.74,1639.6021133788,34.017444778524,75.41683239408,23.495263401812
2008-01-31,1378.76,27.92,64.25,211.08,3.74,1673.3582539795,33.885638146674,77.978232482945,24.022317760837
2007-12-31,1479.22,27.73,66.18,210.036,4.1,1804.2070341513,33.822325994115,80.719853382277,25.95551010524
2007-11-30,1463.39,27.48,70.32,210.177,4.15,1783.701734431,33.494915000214,85.7118785595,25.729053579498
2007-10-31,1539.66,27.23,74.46,208.936,4.53,1887.8126477725,33.387331228223,91.29712388004,27.320648130462
2007-09-30,1497.12,26.98,78.6,208.49,4.52,1839.5801861001,33.1515666219,96.579434265432,26.725743047697
2007-08-31,1454.62,26.71,80.706666666667,207.917,4.67,1792.2842762978,32.910253550696,99.441290274484,26.148607189312
2007-07-31,1520.71,26.44,82.813333333333,208.299,5.0,1870.2796877925,32.517833739,101.84985645634,27.410088167204
2007-06-30,1514.19,26.17,84.92,208.352,5.1,1861.7872011668,32.177580788761,104.41422088581,27.418262740411
2007-05-31,1511.14,25.943333333333,84.33,207.949,4.75,1861.6378733488,31.960699798989,103.88972686813,27.548490451851
2007-04-30,1463.64,25.716666666667,83.74,206.686,4.69,1814.1389583716,31.875055942347,103.7932800238,26.976268314189
2007-03-31,1406.95,25.49,83.15,205.352,4.56,1755.2018470115,31.799349714149,103.73149975408,26.227605554651
2007-02-28,1444.8,25.286666666667,82.603333333333,203.499,4.72,1818.8328689576,31.832932225711,103.98785835557,27.315181413517
2007-01-31,1424.16,25.083333333333,82.056666666667,202.416,4.76,1802.4419462888,31.745907870425,103.8523606706,27.207536656807
2006-12-31,1416.42,24.88,81.51,201.8,4.56,1798.1181671209,31.584685332012,103.47538992815,27.282689787572
2006-11-30,1388.64,24.62,80.53,201.5,4.6,1765.4765806452,31.301153225806,102.38350403226,26.928020270856
2006-10-31,1363.38,24.36,79.55,201.8,4.73,1730.7848990337,30.924555252725,100.98720732161,26.538040282102
2006-09-30,1317.74,24.1,78.57,202.9,4.72,1663.7766405865,30.42862555446,99.202369701823,25.644156440797
2006-08-31,1287.15,23.88,77.21,203.9,4.88,1617.1834033227,30.002983079941,97.007132479156,25.051393562011
2006-07-31,1260.24,23.66,75.85,203.5,5.09,1586.4857911548,29.785004299754,95.485738636364,24.696786766853
2006-06-30,1253.17,23.44,74.49,202.9,5.11,1582.2506508748,29.595310497782,94.050967533268,24.749582241646
2006-05-31,1290.01,23.22,73.883333333333,202.5,5.11,1631.9820953704,29.37545,93.469257716049,25.650640708757
2006-04-30,1302.17,23.0,73.276666666667,201.5,4.99,1655.5411330645,29.241532258065,93.161826612903,26.147280943875
2006-03-31,1293.74,22.78,72.67,199.8,4.72,1658.8184703453,29.208252627628,93.176633821321,26.327837778668
2006-02-28,1276.65,22.593333333333,71.723333333333,198.7,4.57,1645.9677544665,29.129282209361,92.471933505284,26.249624763583
2006-01-31,1278.73,22.406666666667,70.776666666667,198.3,4.42,1651.9750368759,28.94688792234,91.435476235502,26.468702626686
2005-12-31,1262.07,22.22,69.83,196.8,4.47,1642.8794216845,28.924529344512,90.900084794207,26.443803114292
2005-11-30,1237.37,21.97,68.71,197.6,4.54,1604.2054317434,28.483310032895,89.080028782895,25.931783309069
2005-10-31,1191.96,21.72,67.59,199.2,4.46,1532.9206965361,27.933015813253,86.924150037651,24.876538723648
2005-09-30,1225.92,21.47,66.47,198.8,4.2,1579.767193159,27.667059544769,85.655773075956,25.730122990164
2005-08-31,1224.27,21.29,65.4,196.4,4.26,1596.9196483579,27.770360552444,85.30679098778,26.104381410936
2005-07-31,1222.24,21.11,64.33,195.4,4.18,1602.4307625384,27.676490212385,84.340531281986,26.287871091255
2005-06-30,1202.25,20.93,63.26,194.5,4.0,1583.5162355398,27.567473329049,83.321469794344,26.068394871884
2005-05-31,1178.28,20.696666666667,62.246666666667,194.4,4.14,1552.7430208333,27.274166345165,82.028955118313,25.650230187183
2005-04-30,1164.43,20.463333333333,61.233333333333,194.6,4.34,1532.9143521968,26.938963579137,80.610646839671,25.408922569114
2005-03-31,1194.9,20.23,60.22,193.3,4.5,1583.6056680031,26.810898538541,79.809802767719,26.339142131058
2005-02-28,1199.63,19.966666666667,59.663333333333,191.8,4.17,1602.3082009254,26.668851016684,79.69044479927,26.744863128101
2005-01-31,1181.41,19.703333333333,59.106666666667,190.7,4.22,1587.0744130178,26.468927962769,79.402305977976,26.58725069797
2004-12-31,1199.21,19.44,58.55,190.3,4.23,1614.3726579743,26.170065685759,78.819822320021,27.144808694741
2004-11-30,1168.94,19.346666666667,58.29,191.0,4.19,1567.8560752618,25.948969895288,78.182225458115,26.465310814818
2004-10-31,1117.21,19.253333333333,58.03,190.9,4.1,1499.2574872315,25.837312729178,77.87426892352,25.411655665489
2004-09-30,1117.66,19.16,57.77,189.9,4.13,1507.75953594,25.847460505529,77.933600908373,25.668406776358
2004-08-31,1088.94,18.973333333333,57.23,189.5,4.28,1472.1161497361,25.649668865435,77.368089379947,25.174462226478
2004-07-31,1105.85,18.786666666667,56.69,189.4,4.5,1495.7657619456,25.410727296726,76.67853781679,25.695888646269
2004-06-30,1132.76,18.6,56.15,189.7,4.73,1529.741026621,25.118456773853,75.828029454402,26.401285366475
2004-05-31,1102.78,18.406666666667,54.766666666667,189.1,4.72,1493.9796873347,24.936239423585,74.194569672131,25.902814292944
2004-04-30,1133.36,18.213333333333,53.383333333333,188.0,4.35,1544.3913909574,24.818694148936,72.743665226064,26.900577508445
2004-03-31,1123.98,18.02,52.0,187.4,3.83,1536.5133477855,24.633864060832,71.085512273212,26.886530384036
2004-02-29,1143.36,17.81,50.913333333333,186.2,4.08,1573.0794522019,24.503695287325,70.048557330827,27.65086203674
2004-01-31,1132.52,17.6,49.826666666667,185.2,4.15,1566.5787756479,24.345518358531,68.923637958963,27.658540355737
2003-12-31,1080.64,17.39,48.74,184.3,4.27,1502.1145198047,24.172501017363,67.749723955507,26.635170511082
2003-11-30,1049.9,17.123333333333,45.353333333333,184.5,4.3,1457.8032215447,23.776026761518,62.973840785908,25.94679821842
2003-10-31,1038.73,16.856666666667,41.966666666667,185.0,4.29,1438.3954043919,23.342496959459,58.113908783784,25.68275607058
2003-09-30,1019.44,16.59,38.58,185.2,4.27,1410.1588201944,22.948417589093,53.366482856371,25.243686752606
2003-08-31,989.53,16.45,37.236666666667,184.6,4.45,1373.2341945423,22.828719190141,51.675708626761,24.642251409932
2003-07-31,992.54,16.31,35.893333333333,183.9,3.98,1382.6543658238,22.720588295269,50.001082109842,24.867329101269
2003-06-30,988.0,16.17,34.55,183.7,3.33,1377.8283886772,22.550086077844,48.182156709309,24.832223259531
2003-05-31,935.96,16.186666666667,33.14,183.5,3.57,1306.6779441417,22.597931880109,46.266194141689,23.591080453481
2003-04-30,890.03,16.203333333333,31.73,183.8,3.96,1240.5277363302,22.584277407508,44.225413832971,22.427939577731
2003-03-31,846.63,16.22,30.32,184.2,3.81,1177.4741133958,22.558414087948,42.168379478827,21.309719026991
2003-02-28,837.03,16.17,29.41,183.1,3.9,1171.1162844757,22.623980406881,41.148501160568,21.214102123415
2003-01-31,895.84,16.12,28.5,181.7,4.05,1263.0567473858,22.727802696753,40.182529581728,22.898348576613
2002-12-31,899.18,16.07,27.59,180.9,4.03,1273.3723403814,22.757505182421,39.071535033167,23.101442537686
2002-11-30,909.93,15.98,28.406666666667,181.3,4.05,1285.7529222973,22.580123414231,40.13930157198,23.348396502725
2002-10-31,854.63,15.89,29.223333333333,181.3,3.94,1207.6126954633,22.452951254826,41.293271166575,21.956233863659
2002-09-30,867.81,15.8,30.04,181.0,3.87,1228.2687876381,22.362783149171,42.517595303867,22.365036801224
2002-08-31,912.55,15.88,28.94,180.7,4.26,1293.7365782374,22.513327338129,41.028696043165,23.588713528842
2002-07-31,903.59,15.96,27.84,180.1,4.65,1285.3015862715,22.702125208218,39.600699611327,23.463120467431
2002-06-30,1014.02,16.04,26.74,179.9,4.93,1443.9850535019,22.841285436354,38.078302529183,26.387672541183
2002-05-31,1079.25,15.936666666667,26.06,179.8,5.16,1537.7286655311,22.706758551168,37.130608314794,28.128107508688
2002-04-30,1111.93,15.833333333333,25.38,179.8,5.21,1584.2915312152,22.55952794772,36.161735956618,29.005883253119
2002-03-31,1153.79,15.73,24.7,178.8,5.28,1653.1284364513,22.537645763423,35.389691694631,30.292130640919
